ID,AGENCY,PARK,PRD_DSCR,Site Type,CAT,FACILITY_ZIP,Longitude_Degree,Longitude Direction,Longitude Minute,Longitude Second,Latitude Degree,Latitude Direction,Latitude Minute,Latitude Second,Customer Zip Code,State,Country,START_DATE,END_DATE,ORD_DATE,Equipment 1,Equipment 1 QTY,# of People
1759792047,FWS,KENAI NATIONAL WILDLIFE REFUGE CABINS,Engineer Lake Cabin,CABIN NONELECTRIC,SITE,99669,,West,,,,North,,,99611,AK,USA,22-Nov-14,23-Nov-14,30-Sep-14,,,4
1761731091,USFS,BIG SHAHEEN CABIN,BIG SHAHEEN (A07),CABIN NONELECTRIC,SITE,99801,134,West,16,35.41,57,North,42,5.82,99801,AK,USA,8-Nov-14,9-Nov-14,4-Oct-14,,,2
1761731091,USFS,BIG SHAHEEN CABIN,BIG SHAHEEN (A07),CABIN NONELECTRIC,SITE,99801,134,West,16,35.41,57,North,42,5.82,99801,AK,USA,8-Nov-14,9-Nov-14,4-Oct-14,,,2
1724262234,FWS,KENAI NATIONAL WILDLIFE REFUGE CABINS,Dolly Varden Lake Cabin,CABIN NONELECTRIC,SITE,99669,,West,,,,North,,,97031,OR,USA,28-Nov-14,30-Nov-14,9-Aug-14,,,4
1724262234,FWS,KENAI NATIONAL WILDLIFE REFUGE CABINS,Dolly Varden Lake Cabin,CABIN NONELECTRIC,SITE,99669,,West,,,,North,,,97031,OR,USA,28-Nov-14,30-Nov-14,9-Aug-14,,,4
1762111059,FWS,KENAI NATIONAL WILDLIFE REFUGE CABINS,Engineer Lake Cabin,CABIN NONELECTRIC,SITE,99669,,West,,,,North,,,99572,AK,USA,13-Oct-14,14-Oct-14,6-Oct-14,,,4
1762111059,FWS,KENAI NATIONAL WILDLIFE REFUGE CABINS,Engineer Lake Cabin,CABIN NONELECTRIC,SITE,99669,,West,,,,North,,,99572,AK,USA,13-Oct-14,14-Oct-14,6-Oct-14,,,4
1761400411,USFS,LITTLE SHAHEEN CABIN,LITTLE SHAHEEN (A08),CABIN NONELECTRIC,SITE,99801,134,West,16,40.26,57,North,42,4.98,99801,AK,USA,27-Oct-14,28-Oct-14,4-Oct-14,,,2
1761400411,USFS,LITTLE SHAHEEN CABIN,LITTLE SHAHEEN (A08),CABIN NONELECTRIC,SITE,99801,134,West,16,40.26,57,North,42,4.98,99801,AK,USA,27-Oct-14,28-Oct-14,4-Oct-14,,,2
1761746928,FWS,KENAI NATIONAL WILDLIFE REFUGE CABINS,Kelly Lake Cabin,CABIN NONELECTRIC,SITE,99669,,West,,,,North,,,99669,AK,USA,20-Dec-14,21-Dec-14,5-Oct-14,,,4
